time,mag,lat,lon,depth,place
2009-01-03 22:33,7.4,-0.691,133.305,23.0,"86 km WNW of Manokwari, Indonesia"
2009-01-03 19:43,7.7,-0.414,132.885,17.0,"140 km WNW of Manokwari, Indonesia"
2008-11-24 09:02,7.3,54.203,154.322,492.3,"284 km WSW of Mil’kovo, Russia"
2008-11-16 17:02,7.4,1.271,122.091,30.0,"135 km NW of Gorontalo, Indonesia"
2008-09-29 15:19,7.0,-29.756,-177.683,36.0,"Kermadec Islands, New Zealand"
2008-07-19 02:39,7.0,37.552,142.214,22.0,"107 km E of Namie, Japan"
2008-07-05 02:12,7.7,53.882,152.886,632.8,Sea of Okhotsk
2008-06-30 06:17,7.0,-58.227,-22.099,8.0,South Sandwich Islands region
2008-05-12 06:28,7.9,31.002,103.322,19.0,"58 km W of Tianpeng, China"
2008-04-12 00:30,7.1,-55.664,158.453,16.0,Macquarie Island region
2008-04-09 12:46,7.3,-20.071,168.892,33.0,"71 km SW of Isangel, Vanuatu"
2008-03-20 22:32,7.2,35.49,81.467,10.0,"226 km SE of Hotan, China"
2008-02-25 08:36,7.2,-2.486,99.972,25.0,"164 km WSW of Sungai Penuh, Indonesia"
2008-02-20 08:08,7.4,2.768,95.964,26.0,"56 km NW of Sinabang, Indonesia"
2007-12-19 09:30,7.2,51.36,-179.509,34.0,"207 km WSW of Adak, Alaska"
2007-12-09 07:28,7.8,-25.996,-177.514,152.5,south of the Fiji Islands
2007-11-29 19:00,7.4,14.944,-61.274,156.0,"18 km WNW of Basse-Pointe, Martinique"
2007-11-14 15:40,7.7,-22.247,-69.89,40.0,"36 km ESE of Tocopilla, Chile"
2007-10-31 03:30,7.2,18.9,145.388,207.0,"Pagan region, Northern Mariana Islands"
2007-09-30 05:23,7.4,-49.271,164.115,10.0,"Auckland Islands, New Zealand region"
2007-09-28 13:38,7.5,22.013,142.668,260.0,"Volcano Islands, Japan region"
2007-09-13 03:35,7.0,-2.13,99.627,22.0,"153 km SSW of Padang, Indonesia"
2007-09-12 23:49,7.9,-2.625,100.841,35.0,"87 km SW of Sungai Penuh, Indonesia"
2007-09-12 11:10,8.4,-4.438,101.367,34.0,"122 km SW of Bengkulu, Indonesia"
2007-09-02 01:05,7.2,-11.61,165.762,35.0,"97 km S of Lata, Solomon Islands"
2007-08-15 23:40,8.0,-13.386,-76.603,39.0,"41 km SW of San Vicente de Cañete, Peru"
2007-08-08 17:05,7.5,-5.859,107.419,280.0,"35 km NNE of Rengasdengklok, Indonesia"
2007-08-01 17:08,7.2,-15.595,167.68,120.0,"56 km E of Luganville, Vanuatu"
2007-04-01 20:39,8.1,-8.466,157.043,24.0,2007 Solomon Islands Earthquake
2007-03-25 00:40,7.1,-20.617,169.357,34.0,"119 km S of Isangel, Vanuatu"
2007-01-21 11:27,7.5,1.065,126.282,22.0,"126 km WNW of Ternate, Indonesia"
2007-01-13 04:23,8.1,46.243,154.524,10.0,2007 Kuril Islands Earthquake
2006-12-26 12:26,7.1,21.799,120.547,10.0,"30 km SW of Hengchun, Taiwan"
2006-11-15 11:14,8.3,46.592,153.266,10.0,2006 Kuril Islands Earthquake
2006-08-20 03:41,7.0,-61.029,-34.371,13.0,Scotia Sea
2006-07-17 08:19,7.7,-9.284,107.419,20.0,"226 km SSW of Singaparna, Indonesia"
2006-05-16 10:39,7.4,-31.81,-179.307,152.0,Kermadec Islands region
