time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-05-12T16:18:33.190Z,32.253,105.159,10,4.2,mb,9,130.1,,1.32,us,usp000g6bq,2014-11-07T01:35:58.904Z,"65 km WSW of Guangyuan, China",earthquake,,,,1,reviewed,us,us
2008-05-12T16:14:34.150Z,32.404,105.424,10,4.3,mb,14,102.7,,1.22,us,usp000g6bp,2014-11-07T01:35:58.902Z,"37 km W of Guangyuan, China",earthquake,,0,,2,reviewed,us,us
2008-05-12T16:09:51.960Z,31.921,104.38,10,4.5,mb,33,97.8,,0.67,us,usp000g6bn,2014-11-07T01:35:58.898Z,"36 km WNW of Jiangyou, China",earthquake,,,,10,reviewed,us,us
2008-05-12T16:04:05.480Z,32.103,104.817,10,4.1,mb,12,127.7,,1.06,us,usp000g6bk,2014-11-07T01:35:58.894Z,"38 km NNE of Jiangyou, China",earthquake,,,,1,reviewed,us,us
2008-05-12T15:58:57.000Z,31.212,103.873,10,4.2,mb,23,126.8,,0.81,us,usp000g6bj,2014-11-07T01:35:58.891Z,"25 km NNW of Tianpeng, China",earthquake,,,,4,reviewed,us,us
2008-05-12T15:54:23.920Z,32.236,104.972,10,4.3,mb,32,102.6,,0.63,us,usp000g6bg,2014-11-07T01:35:58.886Z,"57 km NNE of Jiangyou, China",earthquake,,,,6,reviewed,us,us
2008-05-12T15:42:41.050Z,30.946,103.574,10,4,mb,10,171.7,,0.73,us,usp000g6bd,2014-11-07T01:35:58.882Z,"35 km W of Tianpeng, China",earthquake,,,,2,reviewed,us,us
2008-05-12T15:40:36.510Z,31.257,103.738,10,4.2,mb,15,99.5,,0.85,us,usp000g6bc,2014-11-07T01:35:58.880Z,"35 km NNW of Tianpeng, China",earthquake,,,,2,reviewed,us,us
2008-05-12T15:28:53.440Z,31.058,103.514,10,5,mb,113,51.5,,0.69,us,usp000g6ba,2014-11-07T01:35:58.869Z,"41 km W of Tianpeng, China",earthquake,,,,65,reviewed,us,us
2008-05-12T15:28:46.160Z,32.345,105.185,10,4.7,mb,21,153.4,,1.02,us,usp000g6b9,2014-11-07T01:35:58.867Z,"60 km W of Guangyuan, China",earthquake,,,,3,reviewed,us,us
2008-05-12T15:26:11.370Z,31.982,104.711,10,4.1,mb,16,127.6,,0.55,us,usp000g6b8,2014-11-07T01:35:58.865Z,"23 km N of Jiangyou, China",earthquake,,,,1,reviewed,us,us
2008-05-12T15:18:44.550Z,32.447,105.325,10,4.4,mb,33,105.2,,0.79,us,usp000g6b7,2014-11-07T01:35:58.862Z,"46 km W of Guangyuan, China",earthquake,,,,9,reviewed,us,us
2008-05-12T15:16:56.460Z,31.044,103.452,10,4.4,mb,35,70.9,,1.05,us,usp000g6b6,2014-11-07T01:35:58.859Z,"46 km W of Tianpeng, China",earthquake,,,,9,reviewed,us,us
